title;dur;hour;minute;second;;;
1. Belajar Go-Lang - 1 Pengenalan Go Lang;08.19;0;8;19;;;
2. Belajar Go-Lang - 2 Program Hello World;09.16;0;9;16;;;
3. Belajar Go-Lang - 3 Tipe Data Number;08.00;0;8;0;;;
4. Belajar Go-Lang - 4 Tipe Data Boolean;02.36;0;2;36;;;
5. Belajar Go-Lang - 5 Tipe Data String;06.10;0;6;10;;;
6. Belajar Go-Lang - 6 Variable;12.46;0;12;46;;;
7. Belajar Go-Lang - 7 Constant;05.39;0;5;39;;;
8. Belajar Go-Lang - 8 Konversi Tipe Data;06.22;0;6;22;;;
9. Belajar Go-Lang - 9 Type Declarations;06.01;0;6;1;;;
10. Belajar Go-Lang - 10 Operasi Matematika;06.23;0;6;23;;;
11. Belajar Go-Lang - 11 Operasi Perbandingan;05.00;0;5;0;;;
12. Belajar Go-Lang - 12 Operasi Boolean;06.45;0;6;45;;;
13. Belajar Go-Lang - 13 Tipe Data Array;09.48;0;9;48;;;
14. Belajar Go-Lang - 14 Tipe Data Slice;21.19;0;21;19;;;
15. Belajar Go-Lang - 15 Tipe Data Map;08.04;0;8;4;;;
16. Belajar Go-Lang - 16 If Expression;10.59;0;10;59;;;
17. Belajar Go-Lang - 17 Switch Expression;09.40;0;9;40;;;
18. Belajar Go-Lang - 18 For Loops;14.14;0;14;14;;;
19. Belajar Go-Lang - 19 Break & Continue;06.33;0;6;33;;;
20. Belajar Go-Lang - 20 Function;05.52;0;5;52;;;
21. Belajar Go-Lang - 21 Function Parameter;06.16;0;6;16;;;
22. Belajar Go-Lang - 22 Function Return Value;06.33;0;6;33;;;
23. Belajar Go-Lang - 23 Returning Multiple Values;06.40;0;6;40;;;
24. Belajar Go-Lang - 24 Named Return Values;05.30;0;5;30;;;
25. Belajar Go-Lang - 25 Variadic Function;08.28;0;8;28;;;
26. Belajar Go-Lang - 26 Function Value;04.34;0;4;34;;;
27. Belajar Go-Lang - 27 Function as Parameter;09.47;0;9;47;;;
28. Belajar Go-Lang - 28 Anonymous Function;06.58;0;6;58;;;
29. Belajar Go-Lang - 29 Recursive Function;08.28;0;8;28;;;
30. Belajar Go-Lang - 30 Closure;06.29;0;6;29;;;
31. Belajar Go-Lang - 31 Defer, Panic & Recover;13.24;0;13;24;;;
32. Belajar Go-Lang - 32 Komentar;04.43;0;4;43;;;
33. Belajar Go-Lang - 33 Struct;10.19;0;10;19;;;
34. Belajar Go-Lang - 34 Struct Method;06.14;0;6;14;;;
35. Belajar Go-Lang - 35 Interface;08.43;0;8;43;;;
36. Belajar Go-Lang - 36 Interface Kosong;07.08;0;7;8;;;
37. Belajar Go-Lang - 37 Nil;05.53;0;5;53;;;
38. Belajar Go-Lang - 38 error Interface;07.04;0;7;4;;;
39. Belajar Go-Lang - 39 Type Assertions;07.12;0;7;12;;;
40. Belajar Go-Lang - 40 Pointer;16.35;0;16;35;;;
41. Belajar Go-Lang - 41 Pointer di Function;05.57;0;5;57;;;
42. Belajar Go-Lang - 42 Pointer di Method;05.16;0;5;16;;;
43. Belajar Go-Lang - 43 GOPATH;06.23;0;6;23;;;
44. Belajar Go-Lang - 44 Package & Import;08.03;0;8;3;;;
45. Belajar Go-Lang - 45 Access Modifier;04.03;0;4;3;;;
46. Belajar Go-Lang - 46 Package Initialization;06.30;0;6;30;;;
47. Belajar Go-Lang - 47 Package os;10.06;0;10;6;;;
48. Belajar Go-Lang - 48 Package flag;08.45;0;8;45;;;
49. Belajar Go-Lang - 49 Package strings;07.37;0;7;37;;;
50. Belajar Go-Lang - 50 Package strconv;08.57;0;8;57;;;
51. Belajar Go-Lang - 51 Package math;03.59;0;3;59;;;
52. Belajar Go-Lang - 52 Package container/list;09.28;0;9;28;;;
53. Belajar Go-Lang - 53 Package container/ring;06.27;0;6;27;;;
54. Belajar Go-Lang - 54 Package sort;08.28;0;8;28;;;
55. Belajar Go-Lang - 55 Package time;08.19;0;8;19;;;
56. Belajar Go-Lang - 56 Package reflect;13.05;0;13;5;;;
57. Belajar Go-Lang - 57 Package regexp;06.55;0;6;55;;;
58. Belajar Go-Lang - 58 Materi Selanjutnya;02.51;0;2;51;;;
2. Tutorial Golang Standard Library (Bahasa Indonesia);2 s, 19 , 33 ;2;19;33;;;
3. TUTORIAL GOLANG MODULES BAHASA INDONESIA;34 , 34 ;0;34;34;;;
4. TUTORIAL GOLANG UNIT TEST BAHASA INDONESIA;1 , 47 , 2 ;1;47;2;;;
5. TUTORIAL GOLANG GOROUTINES (BAHASA INDONESIA);1 , 1 minute, 52 ;1;1;52;;;
8. TUTORIAL GOLANG DATABASE MYSQL (BAHASA INDONESIA);52 , 56 ;0;52;56;;;
10. TUTORIAL GOLANG EMBED BAHASA INDONESIA;38 , 30 ;0;38;30;;;
11. TUTORIAL GOLANG WEB (BAHASA INDONESIA);1 , 2 , 46 ;1;2;46;;;
16. TUTORIAL GOLANG DEPENDENCY INJECTION (BAHASA INDONESIA);37 , 16 ;0;37;16;;;
19. TUTORIAL GOLANG GENERICS (BAHASA INDONESIA);31 , 27 ;0;31;27;;;
21. TUTORIAL GOLANG DATABASE MIGRATION (BAHASA INDONESIA);27 , 48 ;0;27;48;;;
23. TUTORIAL GOLANG VALIDATION (BAHASA INDONESIA);48 , 25 ;0;48;25;;;
